"ID","Flights","Org_airport_lat","Org_airport_long","Dest_airport_lat","Dest_airport_long","Fly_date","Dest/Orig","City"
306,31,40.63980103,-73.77890015,47.4490013122559,-122.30899810791,"2009-12-01","Origin_city","New York, NY"
307,31,40.63980103,-73.77890015,47.4490013122559,-122.30899810791,"2009-12-01","Origin_city","New York, NY"
308,20,40.63980103,-73.77890015,47.4490013122559,-122.30899810791,"2009-12-01","Origin_city","New York, NY"
309,21,32.7336006165,-117.190002441,47.4490013122559,-122.30899810791,"2009-12-01","Origin_city","San Diego, CA"
310,44,32.7336006165,-117.190002441,47.4490013122559,-122.30899810791,"2009-12-01","Origin_city","San Diego, CA"
311,120,32.7336006165,-117.190002441,47.4490013122559,-122.30899810791,"2009-12-01","Origin_city","San Diego, CA"
312,3,32.7336006165,-117.190002441,47.4490013122559,-122.30899810791,"2009-12-01","Origin_city","San Diego, CA"
313,3,32.896800994873,-97.0380020141602,47.4490013122559,-122.30899810791,"2009-12-01","Origin_city","Dallas, TX"
314,35,32.896800994873,-97.0380020141602,47.4490013122559,-122.30899810791,"2009-12-01","Origin_city","Dallas, TX"
315,25,32.896800994873,-97.0380020141602,47.4490013122559,-122.30899810791,"2009-12-01","Origin_city","Dallas, TX"
316,30,32.896800994873,-97.0380020141602,47.4490013122559,-122.30899810791,"2009-12-01","Origin_city","Dallas, TX"
317,180,32.896800994873,-97.0380020141602,47.4490013122559,-122.30899810791,"2009-12-01","Origin_city","Dallas, TX"
318,14,39.871898651123,-75.241096496582,47.4490013122559,-122.30899810791,"2009-12-01","Origin_city","Philadelphia, PA"
319,30,39.871898651123,-75.241096496582,47.4490013122559,-122.30899810791,"2009-12-01","Origin_city","Philadelphia, PA"
320,26,39.871898651123,-75.241096496582,47.4490013122559,-122.30899810791,"2009-12-01","Origin_city","Philadelphia, PA"
321,27,41.97859955,-87.90480042,47.4490013122559,-122.30899810791,"2009-12-01","Origin_city","Chicago, IL"
322,62,41.7859992980957,-87.7524032592773,47.4490013122559,-122.30899810791,"2009-12-01","Origin_city","Chicago, IL"
323,105,41.97859955,-87.90480042,47.4490013122559,-122.30899810791,"2009-12-01","Origin_city","Chicago, IL"
324,15,41.97859955,-87.90480042,47.4490013122559,-122.30899810791,"2009-12-01","Origin_city","Chicago, IL"
325,10,41.97859955,-87.90480042,47.4490013122559,-122.30899810791,"2009-12-01","Origin_city","Chicago, IL"
326,62,41.97859955,-87.90480042,47.4490013122559,-122.30899810791,"2009-12-01","Origin_city","Chicago, IL"
327,100,41.97859955,-87.90480042,47.4490013122559,-122.30899810791,"2009-12-01","Origin_city","Chicago, IL"
328,32,41.97859955,-87.90480042,47.4490013122559,-122.30899810791,"2009-12-01","Origin_city","Chicago, IL"
329,4,41.97859955,-87.90480042,47.4490013122559,-122.30899810791,"2009-12-01","Origin_city","Chicago, IL"
330,59,29.64539909,-95.27890015,40.63980103,-73.77890015,"2009-12-01","Origin_city","Houston, TX"
331,28,29.9843997955322,-95.3414001464844,40.63980103,-73.77890015,"2009-12-01","Origin_city","Houston, TX"
332,67,29.9843997955322,-95.3414001464844,40.77719879,-73.87259674,"2009-12-01","Origin_city","Houston, TX"
333,128,29.9843997955322,-95.3414001464844,40.77719879,-73.87259674,"2009-12-01","Origin_city","Houston, TX"
334,34,29.9843997955322,-95.3414001464844,40.77719879,-73.87259674,"2009-12-01","Origin_city","Houston, TX"
335,50,33.4342994689941,-112.012001037598,40.63980103,-73.77890015,"2009-12-01","Origin_city","Phoenix, AZ"
336,31,47.4490013122559,-122.30899810791,40.63980103,-73.77890015,"2009-12-01","Origin_city","Seattle, WA"
337,58,47.4490013122559,-122.30899810791,40.63980103,-73.77890015,"2009-12-01","Origin_city","Seattle, WA"
338,19,47.4490013122559,-122.30899810791,40.63980103,-73.77890015,"2009-12-01","Origin_city","Seattle, WA"
339,88,33.4342994689941,-112.012001037598,40.63980103,-73.77890015,"2009-12-01","Origin_city","Phoenix, AZ"
340,31,47.4490013122559,-122.30899810791,40.63980103,-73.77890015,"2009-12-01","Origin_city","Seattle, WA"
341,23,33.4342994689941,-112.012001037598,40.63980103,-73.77890015,"2009-12-01","Origin_city","Phoenix, AZ"
342,4,33.4342994689941,-112.012001037598,40.63980103,-73.77890015,"2009-12-01","Origin_city","Phoenix, AZ"
343,27,39.871898651123,-75.241096496582,40.77719879,-73.87259674,"2009-12-01","Origin_city","Philadelphia, PA"
344,8,39.871898651123,-75.241096496582,40.77719879,-73.87259674,"2009-12-01","Origin_city","Philadelphia, PA"
345,182,39.871898651123,-75.241096496582,40.77719879,-73.87259674,"2009-12-01","Origin_city","Philadelphia, PA"
346,25,39.871898651123,-75.241096496582,40.77719879,-73.87259674,"2009-12-01","Origin_city","Philadelphia, PA"
347,25,39.871898651123,-75.241096496582,40.63980103,-73.77890015,"2009-12-01","Origin_city","Philadelphia, PA"
348,307,39.871898651123,-75.241096496582,40.77719879,-73.87259674,"2009-12-01","Origin_city","Philadelphia, PA"
349,26,32.896800994873,-97.0380020141602,40.63980103,-73.77890015,"2009-12-01","Origin_city","Dallas, TX"
350,375,32.896800994873,-97.0380020141602,40.77719879,-73.87259674,"2009-12-01","Origin_city","Dallas, TX"
351,43,32.896800994873,-97.0380020141602,40.77719879,-73.87259674,"2009-12-01","Origin_city","Dallas, TX"
352,29,32.896800994873,-97.0380020141602,40.63980103,-73.77890015,"2009-12-01","Origin_city","Dallas, TX"
353,175,33.94250107,-118.4079971,40.63980103,-73.77890015,"2009-12-01","Origin_city","Los Angeles, CA"
354,23,33.94250107,-118.4079971,40.63980103,-73.77890015,"2009-12-01","Origin_city","Los Angeles, CA"
355,30,33.94250107,-118.4079971,40.63980103,-73.77890015,"2009-12-01","Origin_city","Los Angeles, CA"
356,148,33.94250107,-118.4079971,40.63980103,-73.77890015,"2009-12-01","Origin_city","Los Angeles, CA"
357,171,33.94250107,-118.4079971,40.63980103,-73.77890015,"2009-12-01","Origin_city","Los Angeles, CA"
358,57,33.94250107,-118.4079971,40.63980103,-73.77890015,"2009-12-01","Origin_city","Los Angeles, CA"
359,290,33.94250107,-118.4079971,40.63980103,-73.77890015,"2009-12-01","Origin_city","Los Angeles, CA"
360,419,41.97859955,-87.90480042,40.77719879,-73.87259674,"2009-12-01","Origin_city","Chicago, IL"
361,28,41.97859955,-87.90480042,40.77719879,-73.87259674,"2009-12-01","Origin_city","Chicago, IL"
362,28,41.97859955,-87.90480042,40.63980103,-73.77890015,"2009-12-01","Origin_city","Chicago, IL"
363,197,41.7859992980957,-87.7524032592773,40.77719879,-73.87259674,"2009-12-01","Origin_city","Chicago, IL"
364,79,41.97859955,-87.90480042,40.77719879,-73.87259674,"2009-12-01","Origin_city","Chicago, IL"
365,36,41.97859955,-87.90480042,40.77719879,-73.87259674,"2009-12-01","Origin_city","Chicago, IL"
366,185,41.97859955,-87.90480042,40.77719879,-73.87259674,"2009-12-01","Origin_city","Chicago, IL"
367,87,41.97859955,-87.90480042,40.77719879,-73.87259674,"2009-12-01","Origin_city","Chicago, IL"
368,109,41.97859955,-87.90480042,40.63980103,-73.77890015,"2009-12-01","Origin_city","Chicago, IL"
369,110,41.97859955,-87.90480042,40.63980103,-73.77890015,"2009-12-01","Origin_city","Chicago, IL"
370,12,41.7859992980957,-87.7524032592773,40.77719879,-73.87259674,"2009-12-01","Origin_city","Chicago, IL"
371,133,41.7859992980957,-87.7524032592773,40.77719879,-73.87259674,"2009-12-01","Origin_city","Chicago, IL"
372,3,32.7336006165,-117.190002441,40.63980103,-73.77890015,"2009-12-01","Origin_city","San Diego, CA"
373,33,32.7336006165,-117.190002441,40.63980103,-73.77890015,"2009-12-01","Origin_city","San Diego, CA"
374,29,32.7336006165,-117.190002441,40.63980103,-73.77890015,"2009-12-01","Origin_city","San Diego, CA"
375,2,32.7336006165,-117.190002441,40.63980103,-73.77890015,"2009-12-01","Origin_city","San Diego, CA"
376,58,32.7336006165,-117.190002441,40.63980103,-73.77890015,"2009-12-01","Origin_city","San Diego, CA"
377,58,40.63980103,-73.77890015,32.7336006165,-117.190002441,"2009-12-01","Origin_city","New York, NY"
378,32,40.63980103,-73.77890015,32.7336006165,-117.190002441,"2009-12-01","Origin_city","New York, NY"
379,3,40.63980103,-73.77890015,32.7336006165,-117.190002441,"2009-12-01","Origin_city","New York, NY"
380,29,40.63980103,-73.77890015,32.7336006165,-117.190002441,"2009-12-01","Origin_city","New York, NY"
381,2,40.63980103,-73.77890015,32.7336006165,-117.190002441,"2009-12-01","Origin_city","New York, NY"
382,52,29.5337009429932,-98.4698028564453,32.7336006165,-117.190002441,"2009-12-01","Origin_city","San Antonio, TX"
383,48,33.94250107,-118.4079971,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Los Angeles, CA"
384,251,33.94250107,-118.4079971,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Los Angeles, CA"
385,118,33.94250107,-118.4079971,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Los Angeles, CA"
386,504,33.94250107,-118.4079971,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Los Angeles, CA"
387,5,29.5337009429932,-98.4698028564453,32.7336006165,-117.190002441,"2009-12-01","Origin_city","San Antonio, TX"
388,116,41.7859992980957,-87.7524032592773,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Chicago, IL"
389,31,41.97859955,-87.90480042,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Chicago, IL"
390,91,41.97859955,-87.90480042,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Chicago, IL"
391,53,41.97859955,-87.90480042,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Chicago, IL"
392,59,41.97859955,-87.90480042,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Chicago, IL"
393,37,41.97859955,-87.90480042,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Chicago, IL"
394,118,47.4490013122559,-122.30899810791,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Seattle, WA"
395,44,47.4490013122559,-122.30899810791,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Seattle, WA"
396,21,47.4490013122559,-122.30899810791,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Seattle, WA"
397,61,33.4342994689941,-112.012001037598,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Phoenix, AZ"
398,12,33.4342994689941,-112.012001037598,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Phoenix, AZ"
399,91,33.4342994689941,-112.012001037598,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Phoenix, AZ"
400,16,33.4342994689941,-112.012001037598,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Phoenix, AZ"
401,203,33.4342994689941,-112.012001037598,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Phoenix, AZ"
402,129,33.4342994689941,-112.012001037598,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Phoenix, AZ"
403,4,47.4490013122559,-122.30899810791,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Seattle, WA"
404,32,29.64539909,-95.27890015,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Houston, TX"
405,17,29.64539909,-95.27890015,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Houston, TX"
406,6,29.64539909,-95.27890015,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Houston, TX"
407,56,29.9843997955322,-95.3414001464844,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Houston, TX"
408,139,29.9843997955322,-95.3414001464844,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Houston, TX"
409,242,32.896800994873,-97.0380020141602,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Dallas, TX"
410,31,32.896800994873,-97.0380020141602,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Dallas, TX"
411,66,39.871898651123,-75.241096496582,32.7336006165,-117.190002441,"2009-12-01","Origin_city","Philadelphia, PA"
412,93,32.896800994873,-97.0380020141602,33.94250107,-118.4079971,"2009-12-01","Origin_city","Dallas, TX"
413,4,32.896800994873,-97.0380020141602,33.94250107,-118.4079971,"2009-12-01","Origin_city","Dallas, TX"
414,32,32.896800994873,-97.0380020141602,33.94250107,-118.4079971,"2009-12-01","Origin_city","Dallas, TX"
415,3,32.896800994873,-97.0380020141602,33.94250107,-118.4079971,"2009-12-01","Origin_city","Dallas, TX"
416,228,32.896800994873,-97.0380020141602,33.94250107,-118.4079971,"2009-12-01","Origin_city","Dallas, TX"
417,120,32.896800994873,-97.0380020141602,33.94250107,-118.4079971,"2009-12-01","Origin_city","Dallas, TX"
418,62,32.896800994873,-97.0380020141602,33.94250107,-118.4079971,"2009-12-01","Origin_city","Dallas, TX"
419,207,41.97859955,-87.90480042,33.94250107,-118.4079971,"2009-12-01","Origin_city","Chicago, IL"
