"","Country","Adjusted net enrollment rate, primary (% of primary school age children)","Adolescents out of school (% of lower secondary school age)","Agriculture, forestry, and fishing, value added (% of GDP)","Air transport, freight (million ton-km)","Children out of school, primary","Employment in agriculture (% of total employment) (modeled ILO estimate)","Employment in industry (% of total employment) (modeled ILO estimate)","Employment in services (% of total employment) (modeled ILO estimate)","GDP (current US$)","GDP per capita (current US$)","Imports of goods and services (% of GDP)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Military expenditure (% of GDP)","Mortality rate, infant, female (per 1,000 live births)","Number of infant deaths","Population, total","Primary completion rate, total (% of relevant age group)","Pupil-teacher ratio, primary","Pupil-teacher ratio, secondary","Services, value added (% of GDP)","Start-up procedures to register a business (number)","Time required to start a business (days)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Urban population (% of total population)","id"
"158","Lebanon",NA,NA,2.91708359365384,56.569,NA,12.0959997177124,22.3169994354248,65.5869979858398,56639155555.5556,8269.78767551923,39.6092335810864,51.4640007019043,93.30501,96.85466,95.06944,4.99389131578459,6.1,741,6848925,NA,NA,NA,74.6946731279911,8,15,6.16699981689453,88.593,158
"159","Lesotho",NA,NA,NA,NA,NA,66.859001159668,10.0170001983643,23.125,2791762880.25884,1324.282767995,NA,68.6689987182617,NA,NA,NA,1.80995298086386,59,3677,2108132,NA,NA,NA,NA,7,29,23.5960006713867,28.153,159
"160","Liberia",NA,NA,37.4483841181902,NA,NA,46.1539993286133,11.2609996795654,42.5849990844727,3.249e+09,674.209484710137,94.767620806402,56.6669998168945,NA,NA,NA,0.765372759861003,48.3,8402,4818977,NA,NA,NA,49.9793382579255,5,18,2.03299999237061,51.151,160
"161","Libya",NA,NA,NA,NA,NA,7.86399984359741,26.6240005493164,65.5120010375977,48319620013.078,7235.02811502498,57.990843947043,54.8709983825684,NA,NA,NA,NA,9.1,1298,6678567,NA,NA,NA,NA,10,35,17.2870006561279,80.102,161
"162","Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37910,NA,NA,NA,NA,10,46,NA,14.338,162
"163","Lithuania",NA,NA,2.69149036924796,NA,NA,7.71000003814697,24.996000289917,67.2939987182617,53251369047.3762,19089.7075056564,79.662615064677,76.1490020751953,NA,NA,NA,1.9578488273958,3,95,2789533,NA,NA,NA,61.0866053612588,4,5.5,6.00699996948242,67.679,163
"164","Luxembourg",NA,NA,0.278953920589505,7323.03958,NA,1.37600004673004,10.5690002441406,88.0540008544922,69487922619.3401,114340.498741773,190.713851980477,69.7220001220703,NA,NA,NA,0.611662609350006,1.8,12,607728,NA,NA,NA,79.2119926302405,5,16.5,5.46999979019165,90.981,164
"165","Macao SAR, China",96.4155,2.48484,NA,31.84376,902,2.07100009918213,17.2830009460449,80.6460037231445,54545184267.5751,86355.407651836,32.9395252500477,78.6179962158203,NA,NA,NA,NA,NA,NA,631636,101.0806,13.49843,9.75724,NA,NA,NA,2.02300000190735,100,165
"166","Madagascar",96.86561,25.13999,NA,16.24747,66840,68.1689987182617,7.39599990844727,24.4360008239746,12100459087.2532,460.752780832755,NA,87.6110000610352,72.38409,77.27514,74.80432,0.602150651051468,34.2,32306,26262368,65.46877,39.81169,19.29784,NA,5,8,1.65900003910065,37.191,166
"167","Malawi",NA,17.32627,NA,0.0108797367,NA,71.9059982299805,8.29899978637695,19.7959995269775,7064971176.34408,389.398033178836,NA,78.4349975585938,NA,NA,NA,0.84612693831809,31.4,21642,18143315,NA,58.67919,72.31002,NA,7,37,5.42999982833862,16.937,167
"168","Malaysia",NA,NA,7.73581976190376,1404.40777752105,NA,11.0939998626709,27.3050003051758,61.601001739502,354348422831.193,11238.9573725301,62.5727178247667,68.379997253418,NA,NA,NA,0.98400150124734,6.1,3501,31528585,NA,NA,11.40208,52.0409947392789,9,13.5,3.35999989509583,76.036,168
"169","Maldives",NA,NA,NA,7.745645613,NA,8.98799991607666,18.5799999237061,72.431999206543,5272288442.84566,10223.6364890278,NA,67.8440017700195,NA,NA,NA,NA,6.6,53,515696,NA,NA,NA,NA,6,12,6.07499980926514,39.808,169
"170","Mali",58.94142,52.77266,38.5264032692822,NA,1343000,65.302001953125,6.51100015640259,28.1870002746582,17196688919.9878,901.403100689224,39.0540201273004,72.9680023193359,25.73516,46.18414,35.47377,2.8650192995004,56.3,48323,19077690,NA,37.82669,NA,37.476478919377,5,11,9.56900024414063,42.356,170
"171","Malta",NA,NA,0.908420764434583,5.14323,NA,1.00499999523163,19.5510005950928,79.4440002441406,14542039605.2294,30074.7411850959,123.209201782334,69.9810028076172,95.98872,93.00997,94.50319,0.487919470212535,5.6,26,483530,NA,NA,NA,75.0472496392874,8,16,4.58300018310547,94.612,171
"172","Marshall Islands",NA,NA,NA,0.133837,NA,NA,NA,NA,211523642.4,3621.17409480766,NA,NA,NA,NA,NA,NA,24,38,58413,NA,NA,NA,NA,5,17,NA,77.031,172
"173","Mauritania",80.30889,37.51446,24.4066103378638,NA,129168,55.3629989624023,11.1099996566772,33.5260009765625,5365868725.27374,1218.59640995207,82.4813763837095,47.4469985961914,NA,NA,NA,3.01925207389013,45.9,7532,4403319,76.05602,34.27814,25.9167,38.1043464723302,4,6,10.3050003051758,53.672,173
"174","Mauritius",94.99232,4.57132,2.77706974691178,233.717,1156,7.0770001411438,27.1350002288818,65.7890014648438,14220348672.7333,11238.6903948961,54.18860698899,65.9459991455078,89.36638,93.35735,91.32539,0.164082476544836,12.1,175,1265303,100.7912,16.19841,10.9886,67.4064725764104,4,5,6.86700010299683,40.793,174
"175","Mexico",NA,NA,3.34300145423902,1090.37819,NA,12.9919996261597,25.9540004730225,61.0540008544922,1223808885585.61,9698.0841865066,41.099597787037,64.7070007324219,94.60805,96.2329,95.37991,0.538883865680492,9.8,24359,126190788,NA,NA,NA,60.2403809074736,8,8.4,3.32200002670288,80.156,175
"176","Micronesia, Fed. Sts.",NA,NA,NA,NA,NA,NA,NA,NA,344501760,3058.43181818182,NA,NA,NA,NA,NA,NA,22.7,65,112640,NA,NA,NA,NA,7,16,NA,22.703,176
"177","Moldova",89.78655,15.00451,10.1602411700013,0.6445,13954,32.1829986572266,16.6259994506836,51.1920013427734,11309082555.1568,3189.35581212262,56.2661272534115,46.9259986877441,NA,NA,NA,0.348808037437052,12,559,3545883,89.38008,17.92314,9.86318,53.2695025758206,3,4,3.41100001335144,42.629,177
"178","Monaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,1,38682,NA,11.38506,NA,NA,NA,NA,NA,100,178
"179","Mongolia",98.69302,NA,10.9089146773014,7.819001,2151,28.7220001220703,19.0769996643066,52.201000213623,13009574620.6012,4103.69749259392,63.543313210012,62.9710006713867,98.64889,98.18601,98.42312,0.761588208041898,11.1,1074,3170208,101.7796,30.38318,NA,39.9924743592339,8,12,6.32000017166138,68.445,179
"180","Montenegro",NA,NA,NA,0.1345,NA,7.84800004959106,17.0639991760254,75.0879974365234,5452173040.60434,8760.69228579702,67.3814986141183,60.6319999694824,98.27135,99.45047,98.84718,1.54646437082941,2.2,17,622345,NA,NA,NA,NA,8,12,15.4619998931885,66.813,180
"181","Morocco",99.15589,10.72483,12.0036791646174,97.71152,7804,38.0929985046387,21.5960006713867,40.3110008239746,118495328198.08,3237.88336815666,48.8049458330224,48.5519981384277,64.59138,83.30135,73.75001,3.10442662748775,17.1,13134,36029138,93.59746,26.80065,19.42453,50.4826880559319,4,9,9.03999996185303,62.453,181
"182","Mozambique",93.92934,NA,21.4135982314416,4.775,353839,71.6920013427734,7.88199996948242,20.4260005950928,14457964380.8548,490.167582289902,76.5605722434441,78.8079986572266,NA,NA,NA,0.994105197436411,49.9,58835,29495962,51.98764,55.27379,NA,46.6196675036164,10,17,3.17199993133545,35.988,182
"183","Myanmar",NA,NA,24.5558347802899,4.74215983168867,NA,50.1399993896484,15.9949998855591,33.8650016784668,71214803377.8188,1325.95292370622,NA,66.2259979248047,NA,NA,NA,2.92475932439651,32.7,34554,53708395,NA,NA,NA,43.1525508907844,12,14,1.56400001049042,30.579,183
"184","Namibia",NA,NA,7.186571983199,26.293869,NA,19.7140007019043,19.3250007629395,60.9609985351563,14521711630.1744,5931.45388457263,44.9191890343264,62.8919982910156,NA,NA,NA,3.3496331905388,25.9,2020,2448255,NA,NA,NA,57.6890027563233,10,54,23.0949993133545,50.032,184
"185","Nauru",NA,NA,NA,7.939983827,NA,NA,NA,NA,114718022.803078,9030.07106447406,NA,NA,NA,NA,NA,NA,23.5,8,12704,NA,NA,NA,NA,NA,NA,NA,100,185
"186","Nepal",NA,NA,24.9650443370969,4.655766324,NA,70.0999984741211,12.9540004730225,16.9459991455078,28812491891.5812,1025.79835586617,45.5341365107875,85.3430023193359,59.72443,78.59134,67.90843,1.44280062147258,24.3,14981,28087871,NA,NA,NA,50.2678078089055,8,18.5,1.26400005817413,19.74,186
"187","Netherlands",NA,NA,1.63105476597432,5886.51490365179,NA,2.24600005149841,16.318000793457,81.4359970092773,913658465709.125,53024.0592130531,73.3313179310086,79.8570022583008,NA,NA,NA,1.24160710770927,3,568,17231017,NA,NA,NA,69.9362693611045,4,3.5,3.88000011444092,91.49,187
"188","New Caledonia",NA,NA,NA,NA,NA,2.5239999294281,22.0659999847412,75.4100036621094,NA,NA,NA,71.161003112793,NA,NA,NA,NA,NA,NA,284060,NA,NA,NA,NA,NA,NA,13.6190004348755,70.683,188
"189","New Zealand",NA,NA,NA,1349.29523130803,NA,6.16300010681152,20.4440002441406,73.3939971923828,205024937871.546,41966.0091846374,NA,81.0240020751953,NA,NA,NA,1.16138840177402,4.2,282,4885500,NA,NA,NA,NA,1,0.5,4.52199983596802,86.538,189
"190","Nicaragua",NA,NA,15.4567054827054,NA,NA,31.0009994506836,16.7490005493164,52.25,13117859221.6626,2028.89689057351,51.2746956144838,69.5970001220703,NA,NA,NA,0.608427606439331,13.8,2095,6465513,NA,NA,NA,50.161636770457,7,14,4.47900009155273,58.522,190
"191","Niger",NA,NA,NA,NA,NA,75.9049987792969,8.12399959564209,15.9709997177124,9239513529.65905,411.688942542622,NA,80.140998840332,NA,NA,NA,2.45284928450267,43.5,48705,22442948,NA,NA,NA,NA,4,10,0.273000001907349,16.425,191
"192","Nigeria",NA,NA,21.1995501675726,19.4220929293716,NA,36.6160011291504,11.5539999008179,51.8300018310547,397269616080.908,2028.18197017598,NA,55.2169990539551,52.65648,71.25571,62.01601,0.506584947663024,68.5,551684,195874740,NA,NA,NA,52.0066897259217,8,10.9,6.02600002288818,50.344,192
"193","North Macedonia",NA,NA,7.24162057706404,NA,NA,16.1140003204346,30.4529991149902,53.4329986572266,12672131053.1578,6083.71894832148,72.8953760972152,65.3430023193359,NA,NA,NA,0.95217387508273,8.1,196,2082958,NA,NA,NA,55.1483550100862,6,15,21.5520000457764,57.963,193
"194","Northern Mariana Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56882,NA,NA,NA,NA,NA,NA,NA,91.618,194
"195","Norway",NA,NA,1.8283397612634,NA,NA,2.04299998283386,19.2409992218018,78.7160034179688,434750937596.065,81807.198038676,32.5466425614575,77.2669982910156,NA,NA,NA,1.60866909235229,1.9,121,5314336,NA,NA,NA,55.5909132563188,4,4,3.91899991035461,82.248,195
"196","Oman",95.46999,2.65377,2.19817704148067,510.425983,8733,4.7350001335144,36.2480010986328,59.0180015563965,79294928478.5436,16418.9269283158,47.9341662047499,73.5350036621094,92.69399,96.98942,95.65153,8.17129950109292,8.8,891,4829483,100.3571,9.67394,10.21867,46.6460469219946,4,4.3,3.11299991607666,84.539,196
"197","Pakistan",68.33648,29.83266,22.5727037098057,217.534134,5974052,41.6710014343262,23.6420001983643,34.6860008239746,312570060548.453,1472.89313366943,19.4398870512693,55.4990005493164,NA,NA,NA,4.025735628755,51.5,338395,212215030,70.91311,44.28277,20.68833,53.4688058732503,10,16.5,3.03800010681152,36.666,197
"198","Palau",NA,NA,NA,NA,NA,NA,NA,NA,310111145,17317.872619646,NA,NA,NA,NA,NA,NA,14.6,4,17907,NA,NA,NA,NA,8,28,NA,79.93,198
"199","Panama",NA,NA,2.18030561785317,47.627413,NA,14.3439998626709,18.5799999237061,67.0759963989258,65055100000,15575.0725482915,NA,71.2890014648438,94.88172,95.96893,95.41181,0,11.7,1038,4176873,NA,NA,NA,65.1284833933081,5,6,3.92199993133545,67.709,199
"200","Papua New Guinea",NA,NA,NA,30.925844284036,NA,67.6549987792969,4.97100019454956,27.3740005493164,23431596214.0081,2722.60467940151,NA,48.4140014648438,NA,NA,NA,0.271533184498923,34.3,8759,8606316,NA,NA,NA,NA,6,41,2.36700010299683,13.169,200
"201","Paraguay",NA,NA,10.5295853521912,1.970266,NA,19.9810009002686,20.0849990844727,59.935001373291,40842341774.2489,5871.46706441738,34.1149316034453,74.0419998168945,93.53171,94.51148,94.0208,0.930582685391207,15.4,2455,6956071,NA,NA,NA,48.3610570812802,7,35,4.71199989318848,61.585,201
"202","Peru",98.50107,1.76867,NA,313.264641181,47585,27.4549999237061,15.6440000534058,56.9010009765625,222237570741.8,6947.2566270938,23.7611684460423,80.2710037231445,91.70311,97.12137,94.40827,1.18714490040018,10,6346,31989256,96.10074,17.38724,14.20042,NA,8,26,2.84400010108948,77.907,202
"203","Philippines",NA,NA,9.28434986142707,835.904513,NA,25.1870002746582,18.3360004425049,56.4770011901855,330910343610.956,3102.71336329931,44.3747490184624,62.0400009155273,NA,NA,NA,1.12932406072171,19.8,49219,106651922,NA,NA,NA,59.9685896762511,14,34,2.51500010490417,46.907,203
"204","Poland",NA,NA,NA,271.488,NA,10.1339998245239,31.5,58.3660011291504,585782872331.589,15424.0460254454,51.8894233132546,70.0110015869141,NA,NA,NA,1.97769196045967,3.4,1417,37978548,NA,NA,NA,NA,5,37,3.67300009727478,60.058,204
"205","Portugal",NA,NA,1.95565143320246,454.209368,NA,6.33900022506714,24.5709991455078,69.0899963378906,237978938135.341,23145.7349562595,43.4351329175685,74.8259963989258,95.07252,97.35362,96.13759,1.77952935913835,2.8,250,10281762,NA,NA,NA,64.9808898518119,6,6.5,6.8600001335144,65.211,205
"206","Puerto Rico",NA,NA,0.783242312685836,NA,NA,1.35300004482269,17.0909996032715,81.5559997558594,101130900000,31651.3481514031,45.9429313889227,49.5859985351563,NA,NA,NA,NA,NA,NA,3195153,NA,NA,NA,49.5523128934875,6,5.5,11.4440002441406,93.578,206
"207","Qatar",98.19449,5.70384,0.174842684507679,12666.7094,2511,1.23500001430511,54.4990005493164,44.265998840332,192009340659.341,69026.4688025751,NA,87.4820022583008,NA,NA,NA,NA,5.4,154,2781677,NA,12.1676,11.04303,42.5773414182575,8,8.7,0.142000004649162,99.135,207
"208","Romania",NA,NA,4.34372194113195,2.71,NA,22.6149997711182,30.0540008544922,47.3310012817383,239552516744.469,12301.1864034302,44.8530544040469,67.1350021362305,98.59977,99.10801,98.8445,1.93420907358469,5.5,1165,19473936,NA,NA,NA,57.1034595531847,6,35,4.29500007629395,53.998,208
"209","Russian Federation",NA,NA,3.14664706134314,6810.61016,NA,5.83599996566772,26.9489994049072,67.2149963378906,1657553765580.67,11288.8724435206,20.769322518279,74.1429977416992,99.73411,99.72516,99.73006,3.92951108949691,5.5,11374,144478050,NA,NA,NA,54.1242492519677,4,10.1,4.74399995803833,74.433,209
"210","Rwanda",95.28152,8.87452,29.038954695323,NA,81300,66.5859985351563,8.81900024414063,24.5949993133545,9509003196.73999,772.967838382225,34.1311515447552,84.3820037841797,69.39454,77.5588,73.21559,1.23181985533241,24.2,10435,12301939,86.54635,59.50859,28.24773,47.7958236658933,5,4,0.971000015735626,17.211,210
"211","Samoa",95.74675,NA,10.7166182709617,NA,387,5.20900011062622,14.66100025177,80.129997253418,861494700.74813,4392.46775479595,45.5364279446751,33.2649993896484,99.24504,98.95609,99.09577,NA,12.2,65,196130,104.7819,NA,NA,NA,4,9,8.32499980926514,18.243,211
"212","San Marino",NA,3.2829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.90191,99.93208,99.91643,NA,1.6,0,33785,107.4193,6.93061,5.84099,NA,8,12.5,NA,97.226,212
"213","Sao Tome and Principe",NA,NA,11.3535593225932,NA,NA,23.6979999542236,17.7810001373291,58.5219993591309,422296762.322469,2001.14090226164,NA,61.6049995422363,89.51573,96.16268,92.81664,NA,21.5,162,211028,NA,NA,NA,71.7606890701544,6,7,13.3190002441406,72.803,213
"214","Saudi Arabia",NA,NA,2.23043690294798,1085.47,NA,4.87400007247925,24.4309997558594,70.6949996948242,782483466666.667,23219.1304831033,26.8351058663476,58.5209999084473,NA,NA,NA,8.77471912659104,5.7,3620,33699947,NA,13.81495,NA,48.2030376445867,11,17.8,5.91900014877319,83.844,214
"215","Senegal",NA,NA,16.562290035388,0.041650904321273,NA,32.0299987792969,13.6059999465942,54.3629989624023,24129599551.8342,1521.9535542169,36.0852109664223,47.9000015258789,NA,NA,NA,1.85432975233273,28.2,17251,15854360,57.06,36.31817,NA,50.3713442567196,4,6,6.46400022506714,47.192,215
"216","Serbia",98.22264,1.73283,6.20050194076476,17.7117,3815,17.0820007324219,25.19700050354,57.7210006713867,50508366849.6463,7233.99587424704,59.2777465186687,66.0879974365234,97.54816,99.07627,98.2892,1.90613603424839,4.3,403,6982084,98.72127,14.2927,7.946,51.011412637165,5,5.5,13.5100002288818,56.092,216
"217","Seychelles",92.85742,NA,2.02815351465463,7.793,269,NA,NA,NA,1590180446.19384,16433.9352865158,102.082637916792,NA,96.3502,95.41176,95.86771,1.44421969506693,11.4,20,96762,101.8531,14.48826,10.7789,70.4138848843161,9,32,NA,56.691,217
"218","Sierra Leone",NA,49.02927,NA,NA,NA,58.8460006713867,5.71999979019165,35.4339981079102,3999945202.44328,522.858128404118,NA,58.7540016174316,34.85203,51.64688,43.20633,0.797631762968598,72.8,19762,7650154,81.78534,27.52246,NA,NA,5,8,4.31300020217896,42.055,218
"219","Singapore",NA,NA,0.02485878236757,5194.90042,NA,0.465000003576279,16.5939998626709,82.9410018920898,364156657769.87,64581.9440183954,149.815981896454,76.0960006713867,95.91941,98.8509,97.34486,3.14363241619433,2.1,114,5638676,NA,NA,NA,69.3769933088953,2,1.5,3.76799988746643,100,219
"220","Sint Maarten (Dutch part)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40654,NA,NA,NA,NA,NA,NA,NA,100,220
"221","Slovak Republic",NA,NA,3.00768760814364,NA,NA,2.68199992179871,36.9809989929199,60.3370018005371,106472189680.752,19546.9019028513,95.0946160845503,72.4309997558594,NA,NA,NA,1.20523821388528,4.2,263,5447011,NA,NA,NA,55.504363172934,8,26.5,6.75600004196167,53.726,221
"222","Slovenia",NA,NA,1.91698631800348,0.54284,NA,5.51100015640259,33.0519981384277,61.4360008239746,54235484383.0673,26234.0228962506,75.7298595978644,74.2760009765625,NA,NA,NA,0.974192235140298,1.6,35,2067372,NA,NA,NA,56.2712733806088,3,8,5.51000022888184,54.541,222
"223","Solomon Islands",67.47257,NA,NA,3.842515754,4351,61.3520011901855,9.09799957275391,29.5499992370605,1411904531.44787,2162.65180398781,NA,72.2249984741211,NA,NA,NA,NA,15.4,358,652858,86.78567,25.41046,NA,NA,7,9,1.78999996185303,23.749,223
"224","Somalia",NA,NA,NA,NA,NA,72.4440002441406,6.43400001525879,21.1219997406006,4721000393.39885,314.562363459147,99.6004655120255,47.9389991760254,NA,NA,NA,NA,70.5,46967,15008154,NA,NA,NA,NA,9,70,13.956000328064,44.971,224
"225","South Africa",NA,NA,2.17601965079703,716.246207899,NA,5.15700006484985,23.2430000305176,71.5999984741211,368288203086.63,6374.01544590635,29.5632511055317,59.6220016479492,NA,NA,NA,0.981709721430103,26,33653,57779622,NA,NA,NA,61.0427298555017,7,40,26.9580001831055,66.355,225
"226","South Sudan",NA,NA,NA,NA,NA,49.5660018920898,15.4390001296997,34.9949989318848,NA,NA,NA,74.5640029907227,28.86426,40.26481,34.52276,1.32920833296659,58.3,24346,10975920,NA,NA,NA,NA,12,13,12.6960000991821,19.615,226
"227","Spain",NA,NA,2.61742622375539,1117.06976,NA,4.30999994277954,19.8840007781982,75.8059997558594,1426189137596.58,30523.8592390474,32.3245724387709,73.9079971313477,97.97378,98.92539,98.4365,1.27309096099574,2.3,1008,46723749,NA,NA,NA,65.9316630360654,7,12.5,15.4870004653931,80.321,227
"228","Sri Lanka",NA,NA,7.86972616318077,436.198,NA,25.8920001983643,28.3339996337891,45.773998260498,88900770857.6351,4102.48135014467,30.1336493582251,56.8009986877441,NA,NA,NA,1.891496667079,5.8,2148,21670000,NA,NA,NA,56.8280621391449,7,9,4.39900016784668,18.476,228
"229","St. Kitts and Nevis",NA,NA,1.22993338149762,NA,NA,NA,NA,NA,1039875050.37037,19829.4283169728,NA,NA,NA,NA,NA,NA,8.8,7,52441,NA,NA,NA,63.8709545800288,7,18.5,NA,30.776,229
"230","St. Lucia",98.28723,11.8624,2.07174216996606,NA,222,10.0120000839233,22.1560001373291,67.8320007324219,1876189777.77778,10315.0260751215,NA,74.5309982299805,NA,NA,NA,NA,13.3,33,181889,94.89362,14.73909,11.14556,75.0576049283808,5,11,20.8680000305176,18.678,230
"231","St. Martin (French part)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37264,NA,NA,NA,NA,NA,NA,NA,NA,231
"232","St. Vincent and the Grenadines",NA,1.53783,6.71984027765963,NA,NA,13.5249996185303,20.4839992523193,65.9919967651367,813093984.074074,7377.67883199414,NA,74.2799987792969,NA,NA,NA,NA,13.4,23,110210,105.5491,14.39258,13.8727,62.310118751399,7,10,19.7609996795654,52.198,232
"233","Sudan",NA,NA,31.4686606408378,NA,NA,43.1430015563965,15.0010004043579,41.8559989929199,40851536133.7642,977.273635724417,12.3456378998456,48.1319999694824,56.06323,65.43515,60.69718,2.27830187334924,37.3,56022,41801533,NA,NA,NA,49.4979611351111,10,34.5,12.8760004043579,34.642,233
"234","Suriname",86.02531,NA,NA,33.201,8601,7.03999996185303,24.6900005340576,68.2699966430664,3427269681.74204,5950.21394733953,NA,56.7960014343262,92.71206,96.07404,94.38327,NA,14.9,180,575991,85.14813,13.39335,NA,NA,8,66,7.63100004196167,66.06,234
"235","Sweden",NA,NA,1.04654568731024,NA,NA,1.81200003623962,17.9780006408691,80.2099990844727,551031682226.344,54111.9721723671,43.8865869161329,82.9240036010742,NA,NA,NA,1.04291444103842,2,260,10183175,NA,NA,NA,64.7634488991625,4,7.5,6.44399976730347,87.431,235
"236","Switzerland",NA,NA,0.651266348309687,1841.314,NA,3.08100008964539,20.318000793457,76.6009979248047,705501304688.699,82838.9294445761,53.377805015783,83.9960021972656,NA,NA,NA,0.675557385670456,3.4,320,8516543,NA,NA,NA,71.3438637866403,6,10,4.88299989700317,73.797,236
"237","Syrian Arab Republic",NA,NA,NA,0.0256386216924769,NA,14.664999961853,28.9479999542236,56.3870010375977,NA,NA,NA,43.4690017700195,NA,NA,NA,NA,12.5,5994,16906283,NA,NA,NA,NA,7,15.5,8.11999988555908,54.162,237
"238","Tajikistan",NA,NA,NA,2.337,NA,51.0559997558594,16.7199993133545,32.2239990234375,7522947810.12326,826.621530538704,NA,45.8079986572266,NA,NA,NA,NA,26.6,8449,9100837,NA,NA,NA,NA,4,10,10.9219999313354,27.134,238
"239","Tanzania",82.35094,NA,NA,0.392645,1895125,66.3499984741211,7.07299995422363,26.576000213623,57437073927.1796,1050.67525379846,NA,84.4680023193359,NA,NA,NA,1.2118635133876,34.4,76644,56318348,68.70373,50.63304,20.86254,NA,10,27.5,1.932000041008,33.776,239
"240","Thailand",NA,NA,8.11678814043549,2666.263256,NA,30.6700000762939,23.5480003356934,45.7830009460449,504992757704.997,7273.56320732092,56.4883209346758,74.6240005493164,NA,NA,NA,1.32751335607131,6.9,5625,69428524,NA,NA,NA,56.9084989676349,5,6,0.665000021457672,49.949,240
"241","Timor-Leste",95.41421,12.62081,NA,NA,7728,50.0219993591309,9.43599987030029,40.5419998168945,2.581e+09,2035.53390768881,NA,39.8600006103516,64.21094,71.86872,68.06683,0.609203395555699,35.7,1448,1267972,103.8459,26.94886,26.54835,NA,6,13,2.99900007247925,30.578,241
"242","Togo",98.21589,NA,23.5594674104787,10.89276,22328,34.5250015258789,19.4890003204346,45.9850006103516,5300214337.17579,671.840687558773,42.7558697363865,78.8809967041016,NA,NA,NA,1.97291955976058,42.2,12216,7889094,89.67256,40.14504,NA,29.0601625253723,4,5.5,1.66799998283386,41.702,242
"243","Tonga",NA,NA,NA,NA,NA,30.5349998474121,29.7129993438721,39.7529983520508,450353313.884584,4364.01556134949,NA,61.4490013122559,99.47503,99.35098,99.41437,NA,15.2,34,103197,NA,NA,NA,NA,4,16,1.02699995040894,23.131,243
"244","Trinidad and Tobago",NA,NA,0.465783680057497,41.138,NA,3.17700004577637,27.3409996032715,69.4810028076172,23410353434.6523,16843.701611713,NA,68.4649963378906,NA,NA,NA,0.77817269907898,14.7,296,1389858,NA,NA,NA,57.1214511413179,7,10.5,2.82999992370605,53.184,244
"245","Tunisia",NA,NA,NA,13.234265,NA,15.0419998168945,32.8409996032715,52.117000579834,39860715814.4238,3446.60723792022,NA,51.3810005187988,NA,NA,NA,2.08983075733882,13.2,2978,11565204,NA,16.87168,NA,NA,7,9,15.4779996871948,68.945,245
"246","Turkey",NA,NA,5.76467869834483,5949.212205544,NA,19.2000007629395,26.32200050354,54.4780006408691,766509088837.579,9311.36611728167,30.7903030771048,57.6189994812012,NA,NA,NA,2.50435660854,8.5,11942,82319724,NA,NA,NA,54.3129339025228,7,7,10.8950004577637,75.143,246
"247","Turkmenistan",NA,NA,NA,16.916,NA,22.7759990692139,33.7060012817383,43.5180015563965,40761142857.1429,6966.63541063077,12.4971962092749,68.7669982910156,NA,NA,NA,NA,33.9,5476,5850908,NA,NA,NA,NA,NA,NA,3.78299999237061,51.593,247
"248","Turks and Caicos Islands",NA,NA,0.512906035408896,NA,NA,NA,NA,NA,1022312010,27142.2277976902,NA,NA,NA,NA,NA,NA,NA,NA,37665,NA,17.69231,10.06957,74.3879170508816,NA,NA,NA,93.098,248
"249","Tuvalu",NA,22.78876,NA,NA,NA,NA,NA,NA,42587778.4724662,3700.71067713471,NA,NA,NA,NA,NA,NA,18.2,6,11508,78.71486,15.57647,8.64286,NA,NA,NA,NA,62.387,249
"250","Uganda",NA,NA,24.1938062762584,NA,NA,70.7600021362305,7.38899993896484,21.8509998321533,27476945526.013,643.139670191672,28.3170817955889,71.9970016479492,70.83806,82.65601,76.5275,1.42500589769753,30.3,54357,42723139,NA,NA,NA,47.6150999147458,13,24,1.74199998378754,23.774,250
"251","Ukraine",NA,NA,10.1373083362323,75.26435,NA,15.3319997787476,24.2560005187988,60.4119987487793,130832374404.882,3095.17358053586,53.8086877645976,66.4359970092773,NA,NA,NA,3.78280295287034,6.7,3199,44622516,NA,12.98011,7.33711,51.3448708603633,6,6.5,9.38099956512451,69.352,251
"252","United Arab Emirates",NA,NA,0.738821042001956,15962.90443,NA,3.70900011062622,23.4029998779297,72.8880004882813,414178897208.986,43004.9486462341,67.9783731473592,83.8130035400391,NA,NA,NA,NA,5.8,651,9630959,NA,NA,NA,52.4718093555072,2,3.8,2.57500004768372,86.522,252
