"","Country","Adjusted net enrollment rate, primary (% of primary school age children)","Adolescents out of school (% of lower secondary school age)","Agriculture, forestry, and fishing, value added (% of GDP)","Air transport, freight (million ton-km)","Children out of school, primary","Employment in agriculture (% of total employment) (modeled ILO estimate)","Employment in industry (% of total employment) (modeled ILO estimate)","Employment in services (% of total employment) (modeled ILO estimate)","GDP (current US$)","GDP per capita (current US$)","Imports of goods and services (% of GDP)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Military expenditure (% of GDP)","Mortality rate, infant, female (per 1,000 live births)","Number of infant deaths","Population, total","Primary completion rate, total (% of relevant age group)","Pupil-teacher ratio, primary","Pupil-teacher ratio, secondary","Services, value added (% of GDP)","Start-up procedures to register a business (number)","Time required to start a business (days)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Urban population (% of total population)","id"
"26","Low & middle income",89.76124,17.1466,7.9290086346122,58241.1075216856,57800000,33.6800788125442,23.0481823663902,43.2719927783464,31716818519203.7,4967.88274412038,25.7058028599362,65.7412704022437,79.81951,88.21015,84.02266,1.90186376844741,28.7916022377837,3947249,6383958209,88.60169,25.44687,18.11664,53.6896916653882,7.43181818181818,24.3712121212121,4.91605348589045,50.3278442398155,26
"27","Low income",80.48845,38.52628,NA,2162.69315571841,20800000,62.8478035419778,11.3745180933791,25.7775296242927,573349332215.685,812.780343134905,NA,72.9863146854711,55.61861,71.1114,63.18397,1.17700731358051,43.4,1149973,705417321,67.34856,39.82732,22.09153,NA,7.2,24.0333333333333,3.56604667603989,32.5722038899212,27
"28","Lower middle income",88.88351,17.01694,14.8514872211442,6704.01368801301,30400000,39.8376251612232,21.9319565258585,38.2303504299968,6707523521117.74,2218.89974912334,29.8560667864232,59.0478336235573,70.9349,83.38948,77.24338,1.90722227841834,34.3,2391445,3022905169,90.76579,28.87235,22.34035,49.0437908436692,7.78723404255319,23.9553191489362,3.95990504507823,40.5078897764183,28
"29","Middle East & North Africa",94.94395,11.25865,NA,33158.0339626912,2285405,16.9421262146263,26.6897197863208,56.3684397865197,3616868655711.47,8056.95043748228,NA,50.7770188074887,72.33609,85.0673,78.96279,5.46696843422857,16.8,185176,448912859,91.32697,21.32469,14.91591,NA,7.19047619047619,20.3714285714286,9.81774053289957,65.3719743231147,29
"30","Middle East & North Africa (excluding high income)",94.73726,12.50963,NA,1119.49211669117,2156584,21.0834270867505,26.7177692971079,52.1991528896943,NA,NA,NA,47.2745709658991,69.41151,82.49586,75.9596,3.07544735423092,18.1346114175969,178812,382896715,90.36671,23.02361,16.20428,NA,7.76923076923077,24.8076923076923,11.4829783845861,61.5905475175283,30
"31","Middle East & North Africa (IDA & IBRD countries)",94.71022,12.77342,NA,1119.49211669117,2143570,21.2073665213571,26.6802024216301,52.1127833199694,NA,NA,NA,47.2719478523254,69.12166,82.31167,75.72189,3.07544735423092,18.1719505914702,176352,378327628,90.25497,23.00915,16.17787,NA,7.58333333333333,23.25,11.2787680395122,61.4145429982846,31
"32","Middle income",91.71578,13.17839,7.76617637675547,56078.4143659672,3.7e+07,30.2766319415254,24.4103282489318,45.3133407557473,31143015141249.8,5483.97202284359,25.5732714165981,65.0000499487387,82.35504,89.90774,86.14847,1.91183053718528,25.3389562503302,2797276,5678540888,92.47109,23.67467,17.83669,53.8665036559116,7.5,24.4705882352941,5.07112116623189,52.5342574698536,32
"33","North America",95.91021,0.38385,NA,46419.368216,101223,1.43151129898339,19.4389395252513,79.1295487667638,22213254904898.5,60976.8019239716,NA,72.933712621639,NA,NA,NA,3.01555298920133,5,23551,364290258,98.74613,14.42524,14.93963,NA,4,3.55,4.15109957648244,82.1731548388538,33
"34","Not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
"35","OECD members",96.6326,3.55345,NA,120331.295618453,1488640,4.54901587428365,22.6720084226836,72.7789767989565,52610141097058.8,40359.7639124304,NA,71.8678664300018,NA,NA,NA,2.13093470414802,4.98963140888474,81193,1303529456,98.26621,15.32034,13.67666,NA,5.13888888888889,9.65555555555556,5.31584255736744,80.5933075710504,35
"36","Other small states",85.59986,NA,1.39239004956091,NA,466992,22.8990154365769,24.2455935927834,52.8553796669223,451603892664.321,14682.013529909,NA,68.3742311433141,81.74337,86.92557,84.52881,NA,32.6594680416438,25547,30758989,84.58244,22.81707,13.96217,51.6873741634437,7.46153846153846,18.1346153846154,9.72476632363278,62.1180381474502,36
"37","Pacific island small states",84.93737,NA,NA,120.407536581,14545,48.1544770725632,11.6427482561174,40.2028230697156,10302802236.0798,4192.61845547684,NA,62.8900114704924,NA,NA,NA,NA,18.6047123553686,1310,2457367,97.64583,23.07468,NA,NA,6.66666666666667,20.4444444444444,3.59773651253737,38.7813441179116,37
"38","Post-demographic dividend",96.26935,2.50111,NA,128468.593880399,1101973,3.18142820390394,21.8325202037794,74.9860421403303,50027698383141,45070.1092696658,NA,73.5768926996782,NA,NA,NA,2.17577032286467,3.7216394774651,45738,1109997273,97.98898,14.12635,12.57776,NA,5.47222222222222,11.6166666666667,5.3545643899063,81.2806947844979,38
"39","Pre-demographic dividend",NA,35.96733,18.6658313535974,557.554257035541,34200000,54.2361313313756,10.9203563954608,34.8435730098829,1312964898976.3,1427.93448267025,NA,65.490239687154,54.83552,70.6175,62.64361,1.41084516028289,49.7761972388993,1817910,919485393,68.40105,35.41248,20.52323,46.3224704443444,7.32432432432432,21.2405405405405,5.10992408180378,41.2269515142477,39
"40","Small states",86.06507,NA,1.70482360091984,NA,547019,22.0123572518186,22.814499296182,55.1731809110376,535696447679.29,13202.5190307007,NA,68.3725898975278,84.50717,87.73817,86.20175,NA,29.1485012047214,28604,40575321,86.57324,22.18372,14.52619,52.6646982077127,7.08333333333333,19.3125,9.29649864018643,58.7244240705329,40
"41","South Asia",91.67923,15.50897,15.0679584721056,3464.16613654989,12500000,43.558836602586,23.7777732810976,32.663286511022,3457801122272.87,1905.76640960073,23.3870023157578,55.7396214726232,63.72935,80.31286,72.25239,2.45107801830611,33.2,1207307,1814388744,91.87583,33.24669,27.19053,49.8922633564217,7.75,14.0625,2.7497315736299,33.9923612456427,41
"42","South Asia (IDA & IBRD)",91.67923,15.50897,15.0679584721056,3464.16613654989,12500000,43.558836602586,23.7777732810976,32.663286511022,3457801122272.87,1905.76640960073,23.3870023157578,55.7396214726232,63.72935,80.31286,72.25239,2.45107801830611,33.2019445350304,1207307,1814388744,91.87583,33.24669,27.19053,49.8922633564217,7.75,14.0625,2.7497315736299,33.9923612456427,42
